time,close,RSI,RSI_80_fcst,RSI_40_fcst,RSI_60_fcst,RSI_20_fcst,EMA_8,EMA_24,EMA_8_above,EMA_24_above,RSI_fcst,target
2023-07-03T16:00:00+03:00,2802.98,0.47048,2849.7725,2776.5112,2801.6196,2702.0232,2793.1313,2799.4104,1,1,3,2803.61
2023-07-03T17:00:00+03:00,2800.34,0.46994138,2849.615,2777.9226,2802.1494,2706.4553,2793.708,2799.617,1,1,2,2802.98
2023-07-03T18:00:00+03:00,2793.93,0.47003034,2854.2334,2779.258,2803.3025,2711.517,2793.7256,2798.3533,1,0,2,2800.34
2023-07-04T10:00:00+03:00,2786.85,0.47106382,2862.5208,2780.3418,2804.7952,2716.7292,2793.1755,2795.7969,0,0,2,2793.93
2023-07-04T11:00:00+03:00,2787.07,0.47286108,2866.4543,2781.197,2805.398,2721.7266,2792.6873,2793.8577,0,0,2,2786.85
2023-07-04T12:00:00+03:00,2781.98,0.4754696,2871.974,2781.7878,2806.0369,2726.5344,2791.8306,2791.2183,0,0,2,2787.07
2023-07-04T13:00:00+03:00,2785.13,0.47848126,2873.6924,2781.774,2805.9731,2728.3232,2791.2947,2789.8652,0,0,2,2781.98
2023-07-04T14:00:00+03:00,2789.07,0.48146716,2872.8335,2781.3167,2805.5203,2727.3655,2791.1167,2789.6885,0,0,2,2785.13
2023-07-04T15:00:00+03:00,2797.01,0.48386273,2870.4126,2780.1438,2804.9995,2721.1428,2791.5881,2791.3154,1,1,2,2789.07
2023-07-04T16:00:00+03:00,2794.12,0.4859658,2869.6404,2779.6533,2804.8225,2718.5178,2791.7905,2791.9387,1,1,2,2797.01
2023-07-04T17:00:00+03:00,2801.85,0.48735812,2867.4824,2778.6506,2804.626,2711.7112,2792.5955,2794.1414,1,1,2,2794.12
2023-07-04T18:00:00+03:00,2808.22,0.48779,2864.5798,2777.6797,2805.02,2703.5886,2793.8455,2797.2698,1,1,3,2801.85
2023-07-05T10:00:00+03:00,2808.68,0.48751742,2861.251,2777.665,2805.4216,2700.0261,2795.0322,2799.8054,1,1,3,2808.22
2023-07-05T11:00:00+03:00,2812.98,0.48656246,2857.818,2777.8293,2806.3125,2696.3958,2796.468,2802.7332,1,1,3,2808.68
2023-07-05T12:00:00+03:00,2808.11,0.48547876,2858.8433,2778.652,2806.9646,2696.4973,2797.3994,2803.928,1,1,3,2812.98
