iter	Passed	Remaining
260	354	33629
261	356	33631
262	358	33697
263	359	33668
264	360	33649
265	361	33642
266	362	33618
267	364	33626
268	366	33658
269	367	33704
270	369	33688
271	370	33690
272	371	33693
273	373	33700
274	374	33665
275	375	33653
276	376	33636
277	377	33605
278	379	33589
279	380	33611
280	382	33604
281	383	33612
282	385	33627
283	386	33607
284	387	33616
285	388	33588
286	389	33561
287	390	33537
288	392	33520
289	393	33496
290	394	33513
291	396	33511
292	397	33513
293	398	33522
294	400	33517
295	401	33504
296	402	33513
297	404	33502
298	405	33488
299	406	33467
300	407	33435
301	408	33413
302	410	33443
303	411	33420
304	412	33434
305	414	33430
306	415	33411
307	416	33399
308	417	33399
309	419	33376
310	419	33334
311	420	33311
312	422	33285
313	423	33265
314	424	33256
315	425	33251
316	426	33243
317	428	33227
318	429	33209
319	430	33187
320	431	33182
321	433	33196
322	434	33172
323	435	33162
324	436	33139
325	437	33141
326	439	33149
327	440	33163
328	442	33156
329	443	33140
330	444	33145
331	446	33144
332	447	33159
333	448	33141
334	450	33134
335	451	33123
336	452	33099
337	453	33089
338	455	33100
339	456	33093
340	457	33079
341	458	33090
342	460	33081
343	461	33081
344	463	33096
345	464	33084
346	465	33083
347	466	33079
348	468	33078
349	469	33096
350	471	33078
351	472	33063
352	473	33048
353	474	33028
354	475	33019
355	477	33062
356	479	33068
357	480	33065
358	481	33068
359	483	33066
360	485	33113
361	486	33111
362	487	33116
363	489	33119
364	490	33125
365	492	33134
366	493	33129
367	495	33148
368	496	33148
369	497	33127
370	499	33131
371	500	33128
372	501	33113
373	502	33092
374	503	33071
375	504	33048
376	506	33057
377	507	33068
378	508	33051
379	509	33039
380	511	33028
381	512	33012
382	513	32997
383	514	33003
384	515	32989
385	516	32966
386	518	32950
387	519	32930
388	520	32909
389	521	32936
390	523	32938
391	524	32917
392	525	32895
393	526	32875
394	527	32856
395	528	32854
396	530	32850
397	531	32830
398	532	32807
399	533	32781
400	533	32755
401	535	32750
402	536	32732
403	538	32770
404	539	32768
405	540	32754
406	541	32739
407	542	32729
408	544	32735
409	545	32698
410	546	32681
411	547	32664
412	548	32646
413	549	32626
414	550	32613
415	551	32619
416	553	32609
417	554	32591
418	555	32573
419	556	32555
420	557	32539
421	558	32545
422	559	32531
423	560	32514
424	562	32498
425	562	32462
426	563	32439
427	564	32425
428	566	32430
429	567	32429
430	568	32429
431	570	32417
432	571	32397
433	572	32380
434	573	32374
435	574	32367
436	575	32346
437	576	32330
438	577	32311
439	578	32288
440	579	32274
441	580	32267
442	581	32259
443	583	32251
444	584	32247
445	585	32234
446	586	32222
447	587	32213
448	589	32215
449	590	32201
450	591	32187
451	592	32168
452	592	32125
453	593	32109
454	594	32084
